RS Name (iDiscover),BLS Name (iDiscover)
,
OtherPhases,Aluminium
OtherPhases,Schwertmannite
OtherPhases,Copper
OtherPhases,Halotrichite
OtherPhases,Jarosite
OtherPhases,Fluorite
OtherPhases,Gibbsite
OtherPhases,Corundum
OtherPhases,Thorite
OtherPhases,Scheelite
OtherPhases,Forsterite
OtherPhases,Lizardite_Chrysotile
OtherPhases,Antigorite
OtherPhases,HollanditeCoronadite
OtherPhases,Talc
OtherPhases,Pargasite
OtherPhases,Riebeckite
OtherPhases,Glaucophane
OtherPhases,Anthophyllite
OtherPhases,Actinolite
OtherPhases,Tremolite
OtherPhases,Hornblende
OtherPhases,Aegirine
OtherPhases,Hedenbergite
OtherPhases,DiopsideHedenbergite
OtherPhases,Diopside
OtherPhases,Augite
OtherPhases,Fayalite
OtherPhases,Enstatite
OtherPhases,Orthopyroxene
OtherPhases,Ferrosillite
OtherPhases,Steel
OtherPhases,Olivine
OtherPhases,OtherPhasesBLS
OtherPhases,Chloritoid
OtherPhases,Cordierite
OtherPhases,Allanite
OtherPhases,Piemontite
OtherPhases,Zoisite
OtherPhases,Epidote_main
OtherPhases,Kyanite_Sillimanite_Andalusite
OtherPhases,Topaz
OtherPhases,Staurolite
OtherPhases,Uvarovite
OtherPhases,Andradite
OtherPhases,Grossular
OtherPhases,Pyrope
OtherPhases,Spessartine
OtherPhases,Almandine
OtherPhases,Elbaite
OtherPhases,Schorl
OtherPhases,DraviteSchorl
OtherPhases,Dravite
OtherPhases,Titanite
OtherPhases,Pentlandite
OtherPhases,Galena
OtherPhases,Sphalerite
OtherPhases,CuSulphides
OtherPhases,Chalcopyrite
OtherPhases,Perovskite
OtherPhases,Baddeleyite
OtherPhases,Cassiterite
OtherPhases,Gahnite
OtherPhases,Hercynite
OtherPhases,Spinel
OtherPhases,ChromiteSpinel
OtherPhases,Chromite
OtherPhases,Magnesiochromite
,
Halite,Halite_main
Halite,Sylvite
,
OtherClays,Sepiolite
OtherClays,Palygorskite
OtherClays,Vermiculite
OtherClays,OtherClaysBLS
,
Marl,Marl
,
Chlorite,Berthierine
Chlorite,Chamosite
Chlorite,Chlorite_main
Chlorite,Clinochlore
,
Smectite,Montmorillonite
Smectite,Stevensite
Smectite,Beidellite
Smectite,Saponite
Smectite,Nontronite
Smectite,IlliteSmectite
,
Illite,Illite_main
Illite,MuscoviteIllite
,
Glauconite,Glauconite
,
Kaolinite,Kaolinite_Dickite
,
QuartzClayMix,QuartzClayMix
,
Muscovite,FeMuscovite
Muscovite,Paragonite
Muscovite,Muscovite_main
,
Unclassified,Unclassified_main
Unclassified,LowConfidence
,
Biotite,Annite
Biotite,Biotite_main
Biotite,Phlogopite
,
KFeldspar,KFeldspar_main
KFeldspar,Anorthoclase
,
AndesineAnorthite,Anorthite
AndesineAnorthite,Bytownite
AndesineAnorthite,Labradorite
AndesineAnorthite,Andesine
,
Oligoclase,Oligoclase
,
Albite,Albite
,
Quartz,Quartz
,
Zircon,Zircon
,
Apatite,Florencite
Apatite,Xenotime
Apatite,Monazite_main
Apatite,Apatite
,
Anhydrite,Anhydrite_Gypsum
,
Barite,Celestine
Barite,BariteCelestine
Barite,Barite_main
,
Pyrite,Pyrite_Marcasite
,
Siderite,Siderite_main
Siderite,SideriteMagnesite
Siderite,Magnesite
Siderite,Rhodochrosite
,
Ankerite,Kutnohorite
Ankerite,Ankerite_main
,
FeDolomite,FeDolomite
,
Dolomite,Dolomite
,
Calcite,Calcite_Aragonite
,
FeOxides,Goethite
FeOxides,FeOxides_main
FeOxides,FeTiOxides
FeOxides,Ulvospinel
FeOxides,Ilmenite
,
Rutile_Anatase,Rutile_Anatase
,
Background,Background
